user_id,baseline_watch_time,age,region,device_type,subscription_status,session_count_last_week,homepage_version,post_watch_time
36,56.48068954094167,18,EU,Desktop,Free,6,1,32.244228943350144
37,97.03247093451276,25,EU,Mobile,Premium,8,1,56.41329220104844
38,139.79406531329613,47,EU,Tablet,Free,8,0,76.36386715049962
39,112.26132481732006,46,EU,Desktop,Premium,8,1,73.43862529491152
40,84.24493342915156,53,APAC,Mobile,Premium,7,1,51.00640238379982
41,63.37113107745491,61,EU,Mobile,Free,10,1,37.75012401926475
42,67.58525118747487,52,US,Desktop,Free,8,0,31.605747738730834
43,140.7736380308324,58,APAC,Mobile,Free,8,1,59.81803242998201
44,91.52423264328087,23,EU,Mobile,Free,5,0,45.39425634283198
45,70.8901306029194,46,APAC,Mobile,Free,10,0,40.91307026901262
46,95.72746454002399,59,APAC,Mobile,Free,8,1,54.39960139742064
47,153.00765409436525,52,US,Desktop,Free,6,0,62.17418946201073
48,93.60476857444887,52,US,Mobile,Premium,12,0,68.11091119377437
49,108.51609329122257,37,US,Mobile,Free,9,0,45.00941152490227
50,99.00510959867482,31,EU,Desktop,Premium,6,0,61.36847651175833
51,79.43250460519444,55,APAC,Mobile,Free,11,1,53.80987052147279
52,55.7244540593358,43,US,Mobile,Free,9,0,31.87822522639114
53,79.51971832761367,22,EU,Mobile,Free,8,0,50.105434163108185
54,83.73317299875666,61,US,Mobile,Free,8,0,36.50610935990437
55,107.59869573546592,29,APAC,Mobile,Free,11,0,30.498878435504004
56,115.16950241623515,47,APAC,Desktop,Premium,9,1,64.56609991667129
57,117.93306243910672,30,US,Mobile,Free,10,0,64.67429316245995
58,98.56761975762777,43,EU,Desktop,Free,10,1,51.81421620372483
59,116.55423492812184,50,US,Mobile,Premium,6,1,72.68708542257964
60,67.36806177010041,58,APAC,Mobile,Premium,10,0,33.6326681427319
61,127.58604465699864,60,APAC,Mobile,Free,14,0,65.84323209960246
62,105.38789461254026,41,EU,Tablet,Free,11,1,52.4068353566882
63,81.05721494691853,43,APAC,Desktop,Free,11,0,54.903968364862614
64,104.65554439612491,61,US,Mobile,Free,5,0,31.43987754946819
65,87.73284860936833,58,APAC,Mobile,Free,11,1,57.67447341092429
66,123.9488816235428,42,EU,Desktop,Premium,7,1,83.52351369762582
67,135.59450449266598,49,US,Desktop,Premium,9,1,77.9138827429249
68,155.56726219599483,46,APAC,Desktop,Free,11,1,90.81686820586972
69,48.10510993535587,18,EU,Desktop,Free,10,1,28.42569906938237
70,46.67658583711231,40,US,Desktop,Free,8,1,26.04596244580241
71,74.86602411160646,42,APAC,Desktop,Premium,9,0,57.76352256576951
72,94.80111208343492,40,APAC,Mobile,Free,7,0,30.06702481871409
73,116.28506763348675,28,EU,Mobile,Free,5,1,46.775596380849606
74,99.46904841724816,61,APAC,Mobile,Premium,7,0,47.64861227479534
75,29.333963525279913,49,US,Desktop,Free,8,0,6.431893511386809
76,80.81387962114884,27,EU,Desktop,Free,11,1,61.275495945198514
77,114.83923927821738,57,APAC,Mobile,Free,14,0,57.12084269613544
78,96.9028420609315,24,US,Desktop,Free,17,1,66.06784985746779
79,112.86033540936074,48,US,Mobile,Premium,16,1,78.4602134920089
80,83.33015572168922,21,APAC,Desktop,Free,11,1,57.93361741634749
81,83.97725793210007,36,EU,Mobile,Free,13,1,66.24425417803074
82,95.59684172964853,30,EU,Mobile,Free,9,1,57.74843471718184
83,102.3015494162477,27,US,Tablet,Free,7,0,38.53604842374507
84,95.9489916038031,28,US,Desktop,Free,12,0,57.75378869400987
85,93.57025937422377,45,APAC,Mobile,Free,14,1,52.540392028658616
86,69.88013141132907,19,EU,Mobile,Free,8,0,26.662070726494385
87,101.32691358962758,39,US,Tablet,Free,8,1,71.89547918737229
88,93.6546381297431,60,APAC,Mobile,Free,12,1,45.67247627511601
89,123.88451723735758,24,US,Mobile,Free,8,1,56.96195774366898
90,125.96753639704521,27,APAC,Desktop,Free,13,0,42.76596168636576
91,95.55469252451832,54,APAC,Mobile,Free,9,1,33.59858555527596
92,78.74145149729657,41,EU,Desktop,Premium,9,0,55.70780998626461
93,70.83808777637333,26,EU,Mobile,Free,7,1,30.186026098696942
94,102.70483062192339,41,EU,Desktop,Free,12,0,54.53607026660177
95,92.32020205045679,36,EU,Mobile,Free,9,0,25.979370296523342
96,79.68438973286773,60,APAC,Mobile,Free,10,1,34.20065762982974
97,91.30790570502741,39,US,Desktop,Free,13,1,64.968869351571
98,71.39997468155613,21,APAC,Mobile,Free,8,0,44.66891367725323
99,110.94096102216656,32,EU,Mobile,Free,14,1,66.90111242310682
100,76.58614305642006,38,US,Mobile,Free,15,0,51.81276563978053
101,126.73523114416497,61,US,Desktop,Free,7,1,80.04003417139006
102,102.104749253724,39,EU,Mobile,Premium,11,1,78.54279123303056
103,107.807355697112,27,US,Desktop,Free,9,0,42.03854189584454
104,57.152644627768744,60,US,Tablet,Premium,15,1,55.80761072603208
105,95.08147299176004,20,US,Tablet,Free,10,1,61.33454590355313
106,112.21669353288824,38,APAC,Desktop,Free,5,0,41.93820840027295
107,61.38898194576196,61,EU,Mobile,Free,6,1,33.17505315151701
108,82.01344481989133,34,APAC,Desktop,Free,10,1,34.61381507401188
109,90.97843640080076,31,US,Mobile,Free,7,1,38.40509477175625
110,48.80648039259733,60,EU,Mobile,Premium,8,0,36.41138961289067
111,99.45478176126875,53,EU,Desktop,Free,8,0,19.7110475933828
112,115.38481942755101,29,EU,Mobile,Free,13,1,50.77680274817489
113,64.21452177504041,46,US,Desktop,Premium,7,1,54.30862553091474
114,100.51637935992322,60,APAC,Mobile,Free,14,0,27.812606997774065
115,50.631497662877045,39,APAC,Desktop,Free,13,1,41.523809025971744
116,88.83913472201847,52,EU,Tablet,Free,12,1,41.740178981889784
117,41.52682935890116,62,US,Mobile,Free,6,1,19.69478578855214
118,123.64253124706991,60,APAC,Mobile,Free,6,1,52.06718396482265
119,102.26701613810484,46,US,Desktop,Premium,12,0,67.59973843082851
120,89.26149132372664,36,US,Desktop,Premium,11,0,54.66670918366763
121,66.74515142492521,26,APAC,Mobile,Free,8,0,28.594924643195984
122,128.2126779047633,48,EU,Desktop,Free,19,0,61.27350315541149
123,149.01305247764205,18,APAC,Mobile,Premium,14,0,89.16595609183068
124,34.26054406659744,31,EU,Desktop,Premium,7,1,58.94230875951979
125,127.08492091358461,36,APAC,Mobile,Free,11,1,66.40266615793675
126,138.8295225944672,56,APAC,Mobile,Free,6,1,62.83050159126258
127,100.14035089723427,29,US,Tablet,Premium,7,1,55.9160606472817
128,54.02195902994442,37,US,Desktop,Free,6,0,32.042445868581616
129,115.90035952632064,30,APAC,Mobile,Free,10,0,41.77947052496593
130,84.57239093765548,22,EU,Mobile,Free,6,1,33.740484410340905
131,71.88238116620228,63,US,Desktop,Premium,13,1,68.62734699506125
132,53.09825592999115,43,EU,Mobile,Free,10,1,33.74968981557517
133,106.51612487928647,58,US,Mobile,Premium,13,0,73.47820446120522
134,113.78420597758043,53,US,Mobile,Free,18,1,81.24245167599527
135,71.29407810960625,23,APAC,Desktop,Free,11,0,33.020815621817576
136,105.61729011220112,49,US,Desktop,Premium,14,1,80.4306859464399
137,55.66975831130572,47,US,Desktop,Free,5,0,41.17205516027552
138,114.05583095614034,20,US,Tablet,Free,7,1,68.6877248847467
139,91.39701895272437,50,APAC,Desktop,Free,13,1,63.289298084122436
140,84.40290684277954,25,EU,Mobile,Premium,11,1,75.5232233884663
141,86.94762382412564,47,US,Mobile,Free,7,0,27.4330198380065
142,116.06658471017604,26,APAC,Tablet,Free,12,0,60.592467978216725
143,112.51234919595024,45,EU,Mobile,Premium,9,0,73.39747357202017
144,105.88395973058128,51,EU,Desktop,Premium,11,0,79.66270674844999
145,94.13103629992159,47,EU,Mobile,Premium,13,0,48.490566346146394
146,92.33463383738118,22,US,Mobile,Free,11,0,40.41711145863822
147,108.55140785995573,56,US,Desktop,Premium,11,1,79.84771488122593
148,96.97483677536214,51,US,Mobile,Premium,9,1,61.59996128004669
149,110.47654220593455,27,US,Mobile,Free,16,0,51.772454484293334
150,80.6964967944582,21,EU,Mobile,Free,5,0,36.01861199960281
151,16.95486707678583,32,EU,Desktop,Free,7,1,16.447847002044192
152,121.16473805578242,38,US,Desktop,Premium,13,1,67.38676631031582
153,155.60938940922773,53,APAC,Mobile,Free,13,0,70.16222892208678
154,103.24093330705746,46,APAC,Tablet,Free,8,0,38.05144541711371
155,86.995343001495,63,APAC,Mobile,Free,13,1,40.78282738329466
156,85.90665768311901,46,APAC,Tablet,Free,5,0,16.105281566688546
157,86.4283743667557,22,US,Mobile,Free,12,1,61.90957441641933
158,90.52228224900014,33,EU,Mobile,Free,8,1,23.23778658109992
159,56.33943813759335,29,EU,Mobile,Free,9,1,16.442439207814378
160,74.48716626239316,49,EU,Desktop,Free,17,0,40.53640587934583
161,60.08919517049211,54,EU,Desktop,Free,8,0,38.52523392470382
162,97.46397484163312,30,APAC,Desktop,Free,12,1,72.48264899347978
163,81.10076542887411,56,EU,Mobile,Free,12,1,32.690479822255995
164,104.85633971933882,37,EU,Mobile,Free,8,0,39.06621392790002
165,84.75890520772498,34,EU,Desktop,Free,16,0,32.59899833221431
166,119.59005563463727,54,US,Mobile,Free,8,0,57.148092891603994
167,96.40601704006326,28,APAC,Mobile,Free,9,0,25.796780210823506
168,155.72099186909202,24,APAC,Mobile,Free,11,1,75.65643929756443
169,33.10917231326722,44,APAC,Mobile,Free,5,1,29.173506714804404
170,70.59249935235276,54,US,Desktop,Free,15,0,38.61285945564202
171,117.04460674946134,48,US,Tablet,Free,13,1,79.31944613804194
172,165.84977120419194,53,US,Mobile,Free,5,1,63.33982624976825
173,82.5409566685362,18,US,Desktop,Free,8,0,44.508287362883216
174,91.31006979535168,56,APAC,Mobile,Premium,13,1,74.056849776378
175,83.21057272459184,36,EU,Desktop,Free,11,1,49.48711178542601
176,129.94371337762774,49,APAC,Mobile,Free,16,1,84.14062799351429
177,81.38076409571943,59,EU,Desktop,Free,8,0,39.7336014851697
178,110.40209519634314,49,US,Mobile,Free,4,0,22.686342148453843
179,80.40595203303987,60,US,Mobile,Free,12,0,75.14840785359559
180,51.823237342620175,40,US,Tablet,Free,7,1,38.615731377954745
181,99.40643161390297,18,US,Tablet,Free,8,0,45.63600558379709
182,105.09554440305978,24,APAC,Desktop,Free,13,1,50.25008957455914
183,128.79677647596785,63,EU,Mobile,Free,8,0,48.63638877844331
184,86.68658920748051,50,EU,Tablet,Free,8,0,29.675207374585334
185,71.47913808862917,45,EU,Desktop,Premium,11,1,66.7351918957549
186,106.8828328985708,18,US,Desktop,Free,13,0,60.26983607154698
187,97.22211276713196,44,US,Mobile,Free,6,1,65.21893995754657
188,98.41995231367918,38,EU,Desktop,Free,9,1,55.79049465073485
189,87.80661888758166,44,US,Mobile,Free,9,1,51.657702354918136
190,124.8101570998131,19,US,Desktop,Free,7,0,60.14863135503967
191,101.08478149127171,55,APAC,Desktop,Free,5,0,38.44901456591475
192,147.13976125022944,31,APAC,Desktop,Free,10,1,74.92190252689154
193,123.33170095681514,58,US,Mobile,Free,7,1,67.94268240941088
194,109.77149388300631,36,APAC,Desktop,Free,14,1,73.90886890658882
195,41.17684978151228,36,EU,Tablet,Free,9,1,22.376323872067108
196,108.06957840886886,56,APAC,Mobile,Free,10,0,32.49347033381765
197,102.60846610941178,56,EU,Mobile,Free,2,0,30.16928619429617
198,114.32855018410667,41,EU,Mobile,Premium,10,1,83.24581989038661
199,121.33326284121776,22,US,Mobile,Free,12,1,65.45801127380733
200,77.9736542463322,23,EU,Mobile,Premium,12,1,78.7538125908126
201,114.72016855351222,41,APAC,Mobile,Free,12,1,52.437364550670544
202,73.1308370694273,20,US,Desktop,Free,12,1,53.06874020442898
203,148.64634225027103,37,APAC,Mobile,Premium,13,1,65.19549829045091
204,50.041450004482556,54,APAC,Mobile,Free,7,0,11.05990119269012
205,37.1793431880365,35,US,Desktop,Free,8,0,17.88052408879598
206,40.478362025276994,39,EU,Tablet,Free,19,1,45.20072255503169
207,63.283332475108544,31,APAC,Desktop,Free,9,1,59.11995137675477
208,56.42653804320816,60,US,Tablet,Free,14,1,40.72005111092066
209,148.68236711110927,44,APAC,Mobile,Free,11,1,86.81212266053188
210,80.20501505765448,50,US,Tablet,Free,9,0,41.498816787721616
211,49.71972631867692,26,APAC,Mobile,Free,8,1,40.75141232959141
212,123.43148930339376,26,EU,Desktop,Free,4,0,44.911047153098224
213,72.40428183535222,38,US,Desktop,Free,12,0,53.41162617062727
214,52.89439870375808,64,US,Desktop,Free,10,0,16.02811669438679
215,116.27516782947899,22,EU,Mobile,Free,11,1,65.46165324379477
216,108.70086529734098,36,APAC,Tablet,Free,8,0,35.95972511187381
217,76.95129951134317,39,APAC,Mobile,Premium,9,1,51.49906428054972
218,132.22620000723686,57,EU,Tablet,Free,12,1,51.97644395567367
219,93.87304739132176,47,APAC,Desktop,Free,15,0,44.68573987006848
220,138.508487965719,28,EU,Tablet,Free,11,0,64.31456415139726
221,105.08222645999713,43,US,Mobile,Premium,12,0,61.44518595321247
222,136.7641662185958,41,EU,Desktop,Free,13,0,50.728017074901686
223,93.28208089276285,48,US,Mobile,Premium,6,1,74.42023092401882
224,53.407668090629016,44,APAC,Mobile,Free,12,0,28.735276619336194
225,163.48105947184192,31,US,Mobile,Free,10,1,89.37307811949441
226,73.62677496052297,29,APAC,Mobile,Premium,10,1,65.40297918055606
227,84.0348641133331,60,EU,Mobile,Premium,7,1,47.365267975661105
228,68.98804485236236,28,US,Mobile,Premium,8,1,34.94474835482456
229,83.89816653106325,42,US,Desktop,Free,9,1,41.00502293010824
230,97.28008323245383,42,US,Mobile,Premium,9,0,67.76359178571383
231,96.05490536622013,22,US,Mobile,Premium,15,1,63.686501409484904
232,109.83060862796079,61,EU,Desktop,Free,11,1,67.19268029442492
233,143.764746269267,45,EU,Mobile,Free,11,0,53.08182877641857
234,86.38606284634477,31,APAC,Desktop,Free,7,0,42.78551758707774
235,53.0063779366072,24,APAC,Mobile,Free,7,1,12.963352648390938
236,54.530456204710994,20,US,Mobile,Free,12,0,40.882934141884036
237,70.0273644540262,21,US,Tablet,Premium,13,1,63.114258780705654
238,39.77412577143204,47,EU,Mobile,Free,9,0,23.86790829823189
239,114.75089473316957,60,EU,Tablet,Premium,14,1,78.59897438709879
240,75.05359309106765,22,APAC,Tablet,Free,11,0,45.002075189416495
241,80.67045065091447,46,EU,Mobile,Free,11,1,42.84885986772979
242,89.94325551485989,53,EU,Mobile,Free,8,1,50.71086764108259
243,48.101387262137045,55,US,Desktop,Free,12,0,13.044828062614384
244,64.16050917671873,36,APAC,Mobile,Free,4,1,20.05709674623243
245,110.24134577063917,56,US,Desktop,Free,8,1,65.35127835307102
246,108.5561739235888,31,APAC,Mobile,Free,14,0,50.730687007340556
247,76.70484207898087,64,US,Mobile,Premium,9,0,42.794395119390224
248,144.31604742376368,32,EU,Tablet,Free,11,1,70.9302960229919
249,50.82819232326788,59,US,Tablet,Free,9,1,37.248528022758805
250,79.65038369535061,24,APAC,Mobile,Free,10,0,29.52671593571606
251,83.07480770593591,45,US,Desktop,Free,13,1,59.432999049826925
252,6.207449995603795,34,US,Mobile,Free,8,0,-5.474938492445274
253,148.12586440848239,38,APAC,Tablet,Free,14,1,74.1778253331933
254,100.98996043620176,41,EU,Mobile,Premium,11,1,77.3455008916728
255,58.66231854276625,53,US,Mobile,Free,7,1,42.27745169556541
256,151.53520328572333,25,US,Mobile,Free,9,1,62.94253771173571
257,107.56986000517148,24,US,Tablet,Premium,10,1,83.01429147435238
258,102.88578420065893,39,US,Mobile,Free,6,0,29.06249045991455
259,71.79004805399862,18,US,Desktop,Free,4,1,49.04625153879024
260,93.18668172105653,44,APAC,Desktop,Free,11,1,36.08655209522966
261,44.22959051311927,27,APAC,Desktop,Free,13,1,28.420729280856584
262,113.85078283274534,59,APAC,Mobile,Free,11,1,51.75059035486952
263,78.76685043470339,46,EU,Tablet,Free,5,1,36.24188062502176
264,94.0214458966387,21,APAC,Tablet,Premium,12,1,85.14472265214535
265,126.06164586599118,39,EU,Mobile,Premium,13,0,79.16465008643175
266,98.54244332547174,51,US,Tablet,Free,15,1,75.07165641591251
267,97.87402336389806,25,US,Mobile,Premium,14,0,75.51568832591491
268,98.2949791446655,26,APAC,Desktop,Free,9,0,43.68935614151775
269,68.00185188314062,57,US,Mobile,Free,5,0,19.83747191006905
270,115.08014158302807,51,EU,Desktop,Free,12,0,64.02177285522384
271,136.30077332413452,57,US,Mobile,Free,14,0,61.0240236398822
272,112.76416980293793,53,APAC,Desktop,Free,9,1,58.03573119624199
273,116.54726443394651,25,US,Mobile,Free,10,0,37.766878543426685
274,63.68155443245435,59,US,Mobile,Free,9,1,34.30802055742634
275,63.96638331381223,45,APAC,Mobile,Premium,3,1,15.776589258586426
276,46.7737192712448,58,US,Mobile,Free,5,0,9.348312157011067
277,126.96759212485308,25,US,Mobile,Premium,6,0,55.68813433332323
278,82.37460397177895,54,APAC,Tablet,Premium,14,0,62.275585064105144
279,131.99531827442956,63,APAC,Mobile,Free,18,1,67.31140374561521
280,66.54264951939598,48,EU,Desktop,Premium,10,1,53.52654431434759
281,76.87473051514257,27,US,Mobile,Free,7,1,54.920946852762
282,92.86275261573773,42,EU,Mobile,Free,9,1,36.25442359460893
283,117.64350205978533,64,EU,Mobile,Free,7,0,45.22398977548068
284,91.82250587398521,39,US,Mobile,Premium,13,0,39.476332874829424
285,96.3337426502315,18,US,Mobile,Free,11,1,55.83078823453911
286,90.49582701916847,37,APAC,Desktop,Free,9,1,56.40098826163583
287,95.3156316082788,37,EU,Desktop,Free,11,1,64.22496236128063
288,56.505899463457666,39,APAC,Mobile,Premium,13,1,44.31552785219661
289,92.42781302919836,45,US,Desktop,Premium,11,1,73.86769463112527
290,84.40263019465601,51,EU,Mobile,Free,11,1,48.0425940746493
291,88.29526557342459,58,EU,Tablet,Free,15,1,52.325789888393466
292,104.77009667809946,64,US,Desktop,Premium,11,1,75.20820145851783
293,69.57965576973342,60,US,Desktop,Free,10,0,38.46720552521003
294,87.46475917786111,39,US,Mobile,Premium,11,0,58.264707919962966
295,81.07914351679489,48,US,Mobile,Premium,8,0,37.271548515833956
296,102.51906014924587,36,US,Mobile,Premium,11,0,48.649008956453535
297,113.54311953046769,21,APAC,Tablet,Free,13,0,79.97705066537381
298,61.33724212878933,53,EU,Desktop,Premium,18,1,83.03281971579662
299,107.57731293307847,49,EU,Mobile,Premium,10,0,44.21398641269106
300,151.97349960656504,47,US,Mobile,Premium,9,1,91.39157726300446
301,45.86529222502125,57,EU,Desktop,Premium,12,1,56.320487717539606
302,65.09484314054659,40,EU,Tablet,Premium,11,1,62.75130960782349
303,63.582672004674876,28,US,Desktop,Premium,9,1,59.83702316634345
304,81.62706835370129,60,US,Desktop,Free,8,0,26.982107949394273
305,138.68547257862002,26,US,Mobile,Free,11,0,59.24998496781704
306,90.40058029041529,49,APAC,Tablet,Premium,7,0,45.74898073825794
307,69.15919214138322,30,APAC,Desktop,Free,22,0,51.40740801695083
308,108.65410512916716,36,APAC,Mobile,Free,12,1,55.577929010461105
309,72.00586406787457,25,US,Desktop,Premium,10,0,51.98558936427965
310,123.70236486065807,41,APAC,Desktop,Free,12,1,78.96647069194205
311,99.15801120732033,26,EU,Desktop,Premium,9,1,83.16878648247537
312,131.66338189110806,41,APAC,Mobile,Free,7,0,39.15432102872499
313,70.15967270540943,64,EU,Mobile,Free,11,0,23.26456803781796
314,180.9257133711609,52,EU,Tablet,Free,12,0,68.66228581071267
315,114.73753875100373,48,APAC,Desktop,Free,9,0,63.13223762000258
316,109.63740457760102,21,US,Mobile,Free,10,1,58.16128280555542
317,88.46434657177008,60,EU,Tablet,Free,8,0,48.475632670290395
318,68.23208642596717,22,US,Mobile,Free,10,0,27.31702602381966
319,63.966939671292295,33,EU,Mobile,Premium,9,1,51.34677581037351
320,85.92068021698232,42,APAC,Tablet,Free,12,0,27.08130761882051
321,66.08190643520611,48,US,Desktop,Free,9,1,55.45811793894425
322,98.4802713674526,60,US,Tablet,Free,10,0,38.76598767120846
323,65.21707704458039,44,APAC,Mobile,Premium,10,0,27.835266304577615
324,108.63248102517025,52,EU,Mobile,Premium,14,1,67.1283795585354
325,118.6836511237409,63,US,Mobile,Free,11,0,26.32438107179498
326,68.82478477793148,41,EU,Mobile,Free,7,0,24.511742184184683
327,125.78058203264081,58,EU,Desktop,Free,10,1,65.63711023719829
328,82.86174192743452,53,US,Desktop,Premium,14,1,72.52547844102531
329,124.65863658264675,34,EU,Mobile,Free,8,1,74.04453646882904
330,103.14499041873712,41,US,Mobile,Free,6,0,36.348234627941466
331,123.66984964971277,44,US,Mobile,Free,9,1,68.9424990299378
332,60.089406134109524,32,APAC,Mobile,Free,9,0,28.758149343773812
333,86.79618039662324,41,EU,Mobile,Premium,10,1,58.68525575390926
334,133.54287781772805,42,EU,Desktop,Free,4,1,41.24913090785569
335,71.45889456955263,42,APAC,Mobile,Free,8,0,37.45856950127781
336,28.883963229576153,33,EU,Desktop,Free,12,0,15.613845800407285
337,31.722324555706336,21,APAC,Mobile,Free,9,1,25.568488738790798
338,14.806780419718166,27,APAC,Desktop,Free,5,1,5.518104404032471
339,26.57508234249522,64,APAC,Tablet,Premium,8,1,37.65998827510811
340,77.65082510434553,38,US,Mobile,Free,12,1,47.74063821486167
341,128.35584248525166,20,US,Desktop,Free,8,1,69.23651318380831
342,76.73312161460481,48,US,Mobile,Free,13,1,45.14531735288469
343,99.70582060804296,30,APAC,Mobile,Free,14,1,68.17451115074286
344,86.7002552950918,43,US,Desktop,Free,16,0,59.242310743820134
345,90.25646836308074,18,EU,Mobile,Free,8,1,54.161755870440516
346,84.95403480765852,51,US,Tablet,Free,8,1,78.69240148476706
347,84.77458967076028,52,US,Desktop,Premium,11,1,60.90758256453097
348,103.83492299931052,31,EU,Mobile,Free,12,1,52.03879404438541
349,54.72051985676054,29,US,Desktop,Free,6,0,16.040171034117503
350,120.30381532004174,44,US,Mobile,Free,9,1,63.8813880909808
351,117.6005379974329,42,EU,Mobile,Free,15,1,56.96534126837141
352,84.14827977372296,61,US,Mobile,Premium,8,0,20.17569449282871
353,114.16180272696545,59,EU,Mobile,Free,9,0,31.431339832499134
354,68.9596672122847,31,EU,Mobile,Premium,11,1,56.406385876472726
355,73.88330928373985,58,US,Desktop,Free,7,0,42.25119706297153
356,94.68791550810249,49,EU,Desktop,Premium,15,1,58.40575062459069
357,84.29336924745415,56,EU,Mobile,Premium,7,0,38.392926416138216
358,76.53785901985131,33,EU,Desktop,Free,12,1,48.32162555343131
359,69.82655883640211,43,EU,Desktop,Premium,11,1,52.545248640313844
360,73.27515834641869,59,US,Desktop,Free,13,0,44.321701273129726
361,118.17506232589463,49,EU,Desktop,Premium,12,0,69.81003335011162
362,31.700297829949413,64,APAC,Mobile,Free,8,1,23.092778276818084
363,100.57483093107999,51,EU,Mobile,Premium,11,1,59.07778311497834
364,82.9068914456104,56,APAC,Desktop,Free,14,1,68.72811985845514
365,111.83440499998946,46,EU,Desktop,Premium,10,1,75.13001191241223
366,105.45220840918097,61,APAC,Mobile,Free,5,1,59.016379570305475
367,6.52396597041232,38,US,Mobile,Free,9,1,10.219609751502151
368,107.53939831432278,32,APAC,Tablet,Free,6,1,58.91615396733741
369,99.72822730345263,27,EU,Mobile,Free,15,0,41.39745309140871
370,90.65588509879657,60,US,Desktop,Premium,13,0,51.353261529010936
371,75.93978551166326,21,US,Desktop,Free,11,0,34.43241088943071
372,115.59843665866867,35,EU,Mobile,Free,12,0,49.680707802769795
373,77.60912070866904,33,APAC,Mobile,Free,11,1,42.75631369379053
374,145.0415287994906,21,US,Mobile,Free,14,0,83.10868161634687
375,106.93148566482941,24,EU,Tablet,Free,13,0,39.48555196956231
376,154.13484202318446,60,APAC,Mobile,Free,8,1,58.35055348472564
377,66.43398009239294,23,EU,Mobile,Premium,9,1,70.07547350341244
378,37.32223079301445,38,APAC,Desktop,Free,11,1,39.41672890628686
379,111.44368792457446,31,US,Mobile,Free,11,0,30.863366498169192
380,115.58112185175858,42,US,Tablet,Premium,6,0,66.2051397271632
381,91.06080291164272,64,APAC,Mobile,Free,14,1,53.197648158053056
382,43.836202627660704,33,APAC,Mobile,Free,11,1,9.990040583779777
383,76.56314445851645,54,EU,Desktop,Free,4,0,24.32963353003225
384,108.53956601761004,34,APAC,Mobile,Free,11,0,47.04127688868224
385,84.47471023038764,27,APAC,Mobile,Free,17,0,52.80390926340571
386,86.52044443582811,37,APAC,Mobile,Free,12,1,58.853134439808116
387,84.73623094014742,42,APAC,Desktop,Free,5,0,35.65196008716032
388,61.982560331204965,36,US,Desktop,Free,8,0,41.127532165124364
389,74.00939021749203,32,US,Mobile,Free,7,1,38.34102334088327
390,47.20333738438404,24,US,Desktop,Free,12,0,22.306366706355895
391,143.03879844933078,45,US,Mobile,Free,7,1,56.77370094825283
392,75.73881374586054,41,APAC,Mobile,Free,9,0,36.42197844400737
393,104.32830545452671,23,US,Desktop,Free,13,0,35.44963132582059
394,59.34342166076072,22,APAC,Mobile,Free,12,1,46.7154443755024
